FCSUBTYPE,FCSUBTYPE_desc,STYLE_NAME,FULL_NAME,DATEFEATURECREATED,DATEFEATUREMODIFIED,ACCESSLEVEL,METADATAID,FEATURETEXT,NAMEID,GLOBALID,BUILDINGTYPE,BUILDINGTYPE_desc,HEIGHT,CAPTUREMETHOD,CAPTUREMETHOD_desc,DATASOURCE,DATASOURCE_desc,PLANACCURACY,SPATIALRELIABILITYDATE,ATTRIBUTERELIABILITYDATE,TARGETDISPLAYSCALE,TARGETDISPLAYSCALE_desc,DATACUSTODIAN,DATACUSTODIAN_desc,gx_id
-98,,BuildingPolygon,,16/02/2007,06/08/2012,0,101312,,-98,{E8B7E284-28DA-11DF-B0B6-001E0B884B88},-99,Unknown,-99,3,OnScreenDigitising,26,OrthoImagery,6.7,01/03/2012,01/03/2012,50000,1:50000,3,LANDGATE,150
-98,,BuildingPolygon,,16/02/2007,03/12/2008,0,100107,,-98,{E9B4574E-28DA-11DF-B0B6-001E0B884B88},-99,Unknown,-99,3,OnScreenDigitising,26,OrthoImagery,6.7,11/01/2008,11/01/2008,20000,1:20000,3,LANDGATE,1500
-98,,BuildingPolygon,,16/02/2007,14/08/2008,0,100107,,-98,{E9B46982-28DA-11DF-B0B6-001E0B884B88},-99,Unknown,-99,3,OnScreenDigitising,26,OrthoImagery,6.7,11/01/2008,11/01/2008,20000,1:20000,3,LANDGATE,1501
-98,,BuildingPolygon,,16/02/2007,14/08/2008,0,100107,,-98,{E9B473DC-28DA-11DF-B0B6-001E0B884B88},-99,Unknown,-99,3,OnScreenDigitising,26,OrthoImagery,6.7,11/01/2008,11/01/2008,20000,1:20000,3,LANDGATE,1502
-98,,BuildingPolygon,,16/02/2007,09/09/2008,0,100107,,-98,{E9B485FC-28DA-11DF-B0B6-001E0B884B88},-99,Unknown,-99,3,OnScreenDigitising,26,OrthoImagery,6.7,11/01/2008,11/01/2008,20000,1:20000,3,LANDGATE,1503
-98,,BuildingPolygon,,16/02/2007,,0,457,,-98,{E9B49902-28DA-11DF-B0B6-001E0B884B88},-99,Unknown,-99,4,Scan_Vectorise,3,1:25000TopographicSeriesByLANDGATE,13.3,23/01/1985,23/01/1985,25000,1:25000,3,LANDGATE,1504
-98,,BuildingPolygon,,16/02/2007,14/08/2008,0,100107,,-98,{E9B4A17C-28DA-11DF-B0B6-001E0B884B88},-99,Unknown,-99,3,OnScreenDigitising,26,OrthoImagery,6.7,11/01/2008,11/01/2008,20000,1:20000,3,LANDGATE,1505
-98,,BuildingPolygon,,16/02/2007,22/09/2008,0,100107,,-98,{E9B4ABD6-28DA-11DF-B0B6-001E0B884B88},-99,Unknown,-99,3,OnScreenDigitising,26,OrthoImagery,6.7,11/01/2008,11/01/2008,20000,1:20000,3,LANDGATE,1506
-98,,BuildingPolygon,,16/02/2007,02/09/2011,0,101046,,-98,{E9B4B3BA-28DA-11DF-B0B6-001E0B884B88},-99,Unknown,-99,3,OnScreenDigitising,26,OrthoImagery,6.7,22/02/2011,22/02/2011,25000,1:25000,3,LANDGATE,1507
-98,,BuildingPolygon,,16/02/2007,04/12/2008,0,100107,,-98,{E9B4BE14-28DA-11DF-B0B6-001E0B884B88},-99,Unknown,-99,3,OnScreenDigitising,26,OrthoImagery,6.7,11/01/2008,11/01/2008,20000,1:20000,3,LANDGATE,1508
-98,,BuildingPolygon,,16/02/2007,05/12/2013,0,101574,,-98,{E9B4C5F8-28DA-11DF-B0B6-001E0B884B88},-99,Unknown,-99,3,OnScreenDigitising,26,OrthoImagery,10,30/06/2013,30/06/2013,20000,1:20000,3,LANDGATE,1509
-98,,BuildingPolygon,,16/02/2007,03/08/2012,0,101344,,-98,{E8B7EA68-28DA-11DF-B0B6-001E0B884B88},-99,Unknown,-99,3,OnScreenDigitising,26,OrthoImagery,6.7,06/03/2012,06/03/2012,25000,1:25000,3,LANDGATE,151
-98,,BuildingPolygon,,16/02/2007,17/12/2008,0,100107,,-98,{E9B4E376-28DA-11DF-B0B6-001E0B884B88},-99,Unknown,-99,3,OnScreenDigitising,26,OrthoImagery,6.7,11/01/2008,11/01/2008,20000,1:20000,3,LANDGATE,1510
-98,,BuildingPolygon,,16/02/2007,29/08/2008,0,100107,,-98,{E9B4EB5A-28DA-11DF-B0B6-001E0B884B88},-99,Unknown,-99,3,OnScreenDigitising,26,OrthoImagery,6.7,11/01/2008,11/01/2008,20000,1:20000,3,LANDGATE,1511
-98,,BuildingPolygon,,16/02/2007,20/02/2009,0,100107,,-98,{E9B4FD8E-28DA-11DF-B0B6-001E0B884B88},-99,Unknown,-99,3,OnScreenDigitising,26,OrthoImagery,6.7,11/01/2008,11/01/2008,20000,1:20000,3,LANDGATE,1512
-98,,BuildingPolygon,,16/02/2007,28/11/2008,0,100107,,-98,{E9B507FC-28DA-11DF-B0B6-001E0B884B88},-99,Unknown,-99,3,OnScreenDigitising,26,OrthoImagery,6.7,11/01/2008,11/01/2008,20000,1:20000,3,LANDGATE,1513
-98,,BuildingPolygon,,16/02/2007,12/06/2009,0,100107,,-98,{E9B50FF4-28DA-11DF-B0B6-001E0B884B88},-99,Unknown,-99,3,OnScreenDigitising,26,OrthoImagery,6.7,11/01/2008,11/01/2008,20000,1:20000,3,LANDGATE,1514
-98,,BuildingPolygon,,16/02/2007,15/02/2013,0,101439,,-98,{E9B51B48-28DA-11DF-B0B6-001E0B884B88},-99,Unknown,-99,3,OnScreenDigitising,26,OrthoImagery,6.7,01/02/2012,01/02/2012,25000,1:25000,3,LANDGATE,1515
-98,,BuildingPolygon,,16/02/2007,,0,453,,-98,{E9B52E4E-28DA-11DF-B0B6-001E0B884B88},-99,Unknown,-99,1,DirectPhotogrammetricCapture,3,1:25000TopographicSeriesByLANDGATE,6.7,13/12/1989,13/12/1989,25000,1:25000,3,LANDGATE,1516
-98,,BuildingPolygon,,16/02/2007,28/11/2014,0,101917,,-98,{E9B53614-28DA-11DF-B0B6-001E0B884B88},-99,Unknown,-99,3,OnScreenDigitising,26,OrthoImagery,10,03/08/2014,03/08/2014,20000,1:20000,3,LANDGATE,1517
-98,,BuildingPolygon,,16/02/2007,28/11/2013,0,101491,,-98,{E9B54078-28DA-11DF-B0B6-001E0B884B88},-99,Unknown,-99,3,OnScreenDigitising,26,OrthoImagery,6.7,02/01/2013,02/01/2013,20000,1:20000,3,LANDGATE,1518
-98,,BuildingPolygon,,16/02/2007,27/11/2008,0,100107,,-98,{E9B548FC-28DA-11DF-B0B6-001E0B884B88},-99,Unknown,-99,3,OnScreenDigitising,26,OrthoImagery,6.7,11/01/2008,11/01/2008,20000,1:20000,3,LANDGATE,1519
-98,,BuildingPolygon,,16/02/2007,04/05/2012,0,101273,,-98,{E8B81100-28DA-11DF-B0B6-001E0B884B88},-99,Unknown,-99,3,OnScreenDigitising,26,OrthoImagery,13.7,17/11/2010,17/11/2010,25000,1:25000,3,LANDGATE,152
