Lat,Lon,Elev.(meters)
-33.76,116.58,253.000
-33.25,116.34,236.000
-31.78,115.94,65.000
-31.99,115.9,23.000
-32.59,115.76,-32768.000
-32.29,115,-32768.000
-32.5,115.22,-32768.000
-32.83,115.14,-32768.000
-31.9,115.78,55.000
-32.8,116.02,267.000
-33.16,115.3,-32768.000
-32.86,116.56,327.000
-31.21,117,269.000
-31.93,116.04,79.000
-33.28,115.58,-32768.000
-33.79,116.1,269.000
-33.37,115.64,4.000
-31.63,115.64,-32768.000
-31.66,116.92,243.000
-32.98,115.92,55.000
-32.62,115.5,-32768.000
-32.92,116.84,352.000
-31.03,116.94,296.000
-32.95,116.52,281.000
-33.22,116.38,272.000
-31.45,116.52,259.000
-32.41,116.08,254.000
-32.38,115.44,-32768.000
-31.75,115.92,81.000
-31.75,115.44,-32768.000
-31.69,117,213.000
-33.04,116.66,289.000
-33.55,116.98,248.000
-31.15,115.22,-32768.000
-32.29,116.86,267.000
-33.49,115.58,23.000
-33.4,115.04,-32768.000
-31.03,116.06,212.000
-33.16,115.38,-32768.000
-31.33,115.68,31.000
-33.73,116.1,258.000
-33.76,116.46,222.000
-31.12,116.26,289.000
-33.76,116.26,278.000
-31.42,116.42,262.000
-31.9,116.68,286.000
-32.02,116.26,261.000
-32.17,115.02,-32768.000
-33.61,116.62,271.000
-31.78,116.12,296.000
-31.45,116.4,225.000
-31.81,116.82,184.000
-32.68,115.08,-32768.000
-33.28,116.44,326.000
-33.85,116.46,301.000
-33.19,115.24,-32768.000
-31.45,115.28,-32768.000
-31.69,115.72,39.000
-31.03,116.62,327.000
-32.47,116.7,339.000
-31.96,116.68,373.000
-32.62,115.4,-32768.000
-33.34,115.68,8.000
-33.58,115.14,-32768.000
-32.11,115.7,-32768.000
-33.85,116.78,259.000
-31.6,115.96,70.000
-32.41,116.56,311.000
-32.53,115.46,-32768.000
-31.09,116.54,293.000
-31.33,116.08,181.000
-31.93,115.46,-32768.000
-32.23,116.48,312.000
-32.35,115.9,16.000
